No,L,C,fsw,average_current
1,3e-05,3e-05,20000,3.2556026550071735
2,3e-05,3e-05,110000,2.488782891491957
3,3e-05,3e-05,200000,2.4480963015005166
4,3e-05,0.000115,20000,2.015067529180449
5,3e-05,0.000115,110000,2.537691919689737
6,3e-05,0.000115,200000,2.3669550373033585
7,3e-05,0.0002,20000,2.259277826903446
8,3e-05,0.0002,110000,2.3060172766352514
9,3e-05,0.0002,200000,2.4145527294792837
10,0.001015,3e-05,20000,2.2056078149267755
11,0.001015,3e-05,110000,2.2077439758592026
12,0.001015,3e-05,200000,2.207317934931173
13,0.001015,0.000115,20000,2.1892102685401005
14,0.001015,0.000115,110000,2.1925165572923
15,0.001015,0.000115,200000,2.191757506122896
16,0.001015,0.0002,20000,2.210189218564623
17,0.001015,0.0002,110000,2.2206118616308337
18,0.001015,0.0002,200000,2.221380712724526
19,0.002,3e-05,20000,2.2077869921943662
20,0.002,3e-05,110000,2.2062050463326557
21,0.002,3e-05,200000,2.2057074895283653
22,0.002,0.000115,20000,2.2334948031557067
23,0.002,0.000115,110000,2.2366608251040994
24,0.002,0.000115,200000,2.236535602931743
25,0.002,0.0002,20000,2.179446821143291
26,0.002,0.0002,110000,2.1826707660230236
27,0.002,0.0002,200000,2.1830247327071093
