Type,Turns,Volume,Inductance
T80-75-200,1,1.205943582717E-6,4.6E-8
T80-75-200,2,1.2218871654339E-6,1.84E-7
T80-75-200,3,1.2378307481509E-6,4.14E-7
T80-75-200,4,1.2537743308679E-6,7.36E-7
T80-75-200,5,1.2697179135848E-6,1.15E-6
T80-75-200,6,1.2856614963018E-6,1.656E-6
T80-75-200,7,1.3016050790188E-6,2.254E-6
T80-75-200,8,1.3175486617357E-6,2.944E-6
T80-75-200,9,1.3334922444527E-6,3.726E-6
T80-75-200,10,1.3494358271697E-6,4.6E-6
T80-75-200,11,1.3653794098866E-6,5.566E-6
T80-75-200,12,1.3813229926036E-6,6.624E-6
T80-75-200,13,1.3972665753206E-6,7.774E-6
T80-75-200,14,1.4132101580376E-6,9.016E-6
T80-75-200,15,1.4291537407545E-6,1.035E-5
T80-75-200,16,1.4450973234715E-6,1.1776E-5
T80-75-200,17,1.4610409061885E-6,1.3294E-5
T80-75-200,18,1.4769844889054E-6,1.4904E-5
T80-75-200,19,1.4929280716224E-6,1.6606E-5
T80-75-200,20,1.5088716543394E-6,1.84E-5
T80-75-200,21,1.5248152370563E-6,2.0286E-5
T80-75-200,22,1.5407588197733E-6,2.2264E-5
T80-75-200,23,1.5567024024903E-6,2.4334E-5
T80-75-200,24,1.5726459852072E-6,2.6496E-5
T80-75-200,25,1.5885895679242E-6,2.875E-5
T80-75-200,26,1.6045331506412E-6,3.1096E-5
T80-75-200,27,1.6204767333581E-6,3.3534E-5
T80-75-200,28,1.6364203160751E-6,3.6064E-5
T80-75-200,29,1.6523638987921E-6,3.8686E-5
T80-75-200,30,1.668307481509E-6,4.14E-5
T80-75-200,31,1.684251064226E-6,4.4206E-5
T80-75-200,32,1.700194646943E-6,4.7104E-5
T80-75-200,33,1.71613822966E-6,5.0094E-5
T80-75-200,34,1.7320818123769E-6,5.3176E-5
T80-75-200,35,1.7480253950939E-6,5.635E-5
T80-75-200,36,1.7639689778109E-6,5.9616E-5
T80-75-200,37,1.7799125605278E-6,6.2974E-5
T80-75-200,38,1.7958561432448E-6,6.6424E-5
T80-75-200,39,1.8117997259618E-6,6.9966E-5
T80-75-200,40,1.8277433086787E-6,7.36E-5
T80-75-200,41,1.8436868913957E-6,7.7326E-5
T80-75-200,42,1.8596304741127E-6,8.1144E-5
T80-75-200,43,1.8755740568296E-6,8.5054E-5
T80-75-200,44,1.8915176395466E-6,8.9056E-5
T80-75-200,45,1.9074612222636E-6,9.315E-5
T80-75-200,46,1.9234048049805E-6,9.7336E-5
T80-75-200,47,1.9393483876975E-6,0.000101614
T80-75-200,48,1.9552919704145E-6,0.000105984
T80-75-200,49,1.9712355531314E-6,0.000110446
T80-75-200,50,1.9871791358484E-6,0.000115
T80-75-200,51,2.0031227185654E-6,0.000119646
T80-75-200,52,2.0190663012823E-6,0.000124384
T80-75-200,53,2.0350098839993E-6,0.000129214
T80-75-200,54,2.0509534667163E-6,0.000134136
T80-75-200,55,2.0668970494333E-6,0.00013915
T80-75-200,56,2.0828406321502E-6,0.000144256
T106-75-200,1,9.3E-8,4.3071747764536E-6
T106-75-200,2,3.72E-7,4.3343495529071E-6
T106-75-200,3,8.37E-7,4.3615243293607E-6
T106-75-200,4,1.488E-6,4.3886991058142E-6
T106-75-200,5,2.325E-6,4.4158738822678E-6
T106-75-200,6,3.348E-6,4.4430486587213E-6
T106-75-200,7,4.557E-6,4.4702234351749E-6
T106-75-200,8,5.952E-6,4.4973982116284E-6
T106-75-200,9,7.533E-6,4.524572988082E-6
T106-75-200,10,9.3E-6,4.5517477645355E-6
T106-75-200,11,1.1253E-5,4.5789225409891E-6
T106-75-200,12,1.3392E-5,4.6060973174426E-6
T106-75-200,13,1.5717E-5,4.6332720938962E-6
T106-75-200,14,1.8228E-5,4.6604468703497E-6
T106-75-200,15,2.0925E-5,4.6876216468033E-6
T106-75-200,16,2.3808E-5,4.7147964232568E-6
T106-75-200,17,2.6877E-5,4.7419711997104E-6
T106-75-200,18,3.0132E-5,4.7691459761639E-6
T106-75-200,19,3.3573E-5,4.7963207526175E-6
T106-75-200,20,3.72E-5,4.823495529071E-6
T106-75-200,21,4.1013E-5,4.8506703055246E-6
T106-75-200,22,4.5012E-5,4.8778450819781E-6
T106-75-200,23,4.9197E-5,4.9050198584317E-6
T106-75-200,24,5.3568E-5,4.9321946348852E-6
T106-75-200,25,5.8125E-5,4.9593694113388E-6
T106-75-200,26,6.2868E-5,4.9865441877923E-6
T106-75-200,27,6.7797E-5,5.0137189642459E-6
T106-75-200,28,7.2912E-5,5.0408937406994E-6
T106-75-200,29,7.8213E-5,5.068068517153E-6
T106-75-200,30,8.37E-5,5.0952432936066E-6
T106-75-200,31,8.9373E-5,5.1224180700601E-6
T106-75-200,32,9.5232E-5,5.1495928465137E-6
T106-75-200,33,0.000101277,5.1767676229672E-6
T106-75-200,34,0.000107508,5.2039423994208E-6
T106-75-200,35,0.000113925,5.2311171758743E-6
T106-75-200,36,0.000120528,5.2582919523279E-6
T106-75-200,37,0.000127317,5.2854667287814E-6
T106-75-200,38,0.000134292,5.312641505235E-6
T106-75-200,39,0.000141453,5.3398162816885E-6
T106-75-200,40,0.0001488,5.3669910581421E-6
T106-75-200,41,0.000156333,5.3941658345956E-6
T106-75-200,42,0.000164052,5.4213406110492E-6
T106-75-200,43,0.000171957,5.4485153875027E-6
T106-75-200,44,0.000180048,5.4756901639563E-6
T106-75-200,45,0.000188325,5.5028649404098E-6
T106-75-200,46,0.000196788,5.5300397168634E-6
T106-75-200,47,0.000205437,5.5572144933169E-6
T106-75-200,48,0.000214272,5.5843892697705E-6
T106-75-200,49,0.000223293,5.611564046224E-6
T106-75-200,50,0.0002325,5.6387388226776E-6
T106-75-200,51,0.000241893,5.6659135991311E-6
T106-75-200,52,0.000251472,5.6930883755847E-6
T106-75-200,53,0.000261237,5.7202631520382E-6
T106-75-200,54,0.000271188,5.7474379284918E-6
T106-75-200,55,0.000281325,5.7746127049453E-6
T106-75-200,56,0.000291648,5.8017874813989E-6
T106-75-200,57,0.000302157,5.8289622578524E-6
T106-75-200,58,0.000312852,5.856137034306E-6
T106-75-200,59,0.000323733,5.8833118107596E-6
T106-75-200,60,0.0003348,5.9104865872131E-6
T106-75-200,61,0.000346053,5.9376613636667E-6
T106-75-200,62,0.000357492,5.9648361401202E-6
T106-75-200,63,0.000369117,5.9920109165738E-6
T106-75-200,64,0.000380928,6.0191856930273E-6
T106-75-200,65,0.000392925,6.0463604694809E-6
T106-75-200,66,0.000405108,6.0735352459344E-6
T106-75-200,67,0.000417477,6.100710022388E-6
T106-75-200,68,0.000430032,6.1278847988415E-6
T106-75-200,69,0.000442773,6.1550595752951E-6
T106-75-200,70,0.0004557,6.1822343517486E-6
T106-75-200,71,0.000468813,6.2094091282022E-6
T106-75-200,72,0.000482112,6.2365839046557E-6
T106-75-200,73,0.000495597,6.2637586811093E-6
T106-75-200,74,0.000509268,6.2909334575628E-6
T131-75-200,1,1.16E-7,6.8705519885562E-6
T131-75-200,2,4.64E-7,6.9011039771123E-6
T131-75-200,3,1.044E-6,6.9316559656685E-6
T131-75-200,4,1.856E-6,6.9622079542246E-6
T131-75-200,5,2.9E-6,6.9927599427808E-6
T131-75-200,6,4.176E-6,7.023311931337E-6
T131-75-200,7,5.684E-6,7.0538639198931E-6
T131-75-200,8,7.424E-6,7.0844159084493E-6
T131-75-200,9,9.396E-6,7.1149678970054E-6
T131-75-200,10,1.16E-5,7.1455198855616E-6
T131-75-200,11,1.4036E-5,7.1760718741178E-6
