No,L,C,fsw,delta_current,delta_voltage,Pl_s1,Pl_s2,Pl_C,Pl_L_Cu
1,0.001116,0.000986,20000,19.947900060524393,19.627897339250875,0.05242590131845117,0.05242590131845117,2.6498508548111126e-05,0.06666227153008698
2,0.001116,0.000986,29473,18.31441765221102,19.673828888709295,0.05497132238282456,0.05497132238282456,1.2297100399352963e-05,0.0559064223228061
3,0.001116,0.000986,38947,16.763248987653878,19.65721998036464,0.06007566922492841,0.06007566922492841,8.216929217247151e-06,0.05094994876035176
4,0.001116,0.000986,48421,15.803516731246107,19.66437993214418,0.06476012556907151,0.06476012556907151,6.29916772032665e-06,0.04808142299873008
5,0.001116,0.000986,57894,15.495911701113968,19.70104296683905,0.06762021306183894,0.06762021306183894,4.977569917315685e-06,0.04610319664946931
6,0.001116,0.000986,67368,15.163049002748782,19.66306171764592,0.07140508406955802,0.07140508406955802,4.218452043261426e-06,0.0452166598015185
7,0.001116,0.000986,76842,15.149874908529858,19.7005810726457,0.07533697437440828,0.07533697437440828,3.6977480188577637e-06,0.04622980183862177
8,0.001116,0.000986,86315,14.96008570056092,19.697086764506643,0.07841849061830054,0.07841849061830054,3.2424719891733138e-06,0.04514189355127905
9,0.001116,0.000986,95789,14.453063554905192,19.69542958654556,0.0835080304490312,0.0835080304490312,3.027022827232344e-06,0.04440142241742571
10,0.001116,0.000986,105263,14.323501056586679,19.675212232931596,0.086718212121018,0.086718212121018,2.7362587679096545e-06,0.043709727123854646
11,0.001116,0.000986,114736,14.178560321201944,19.694567530526584,0.09014954523429579,0.09014954523429579,2.5099799593903504e-06,0.04314266554372405
12,0.001116,0.000986,124210,14.059564942571006,19.67983108974067,0.09354280787996838,0.09354280787996838,2.318548799795182e-06,0.04267045054667435
13,0.001116,0.000986,133684,14.053571625410873,19.677306537169148,0.09625887519691036,0.09625887519691036,2.126394995247013e-06,0.04223474097406993
14,0.001116,0.000986,143157,13.9904003284745,19.691854122007385,0.09941073522171529,0.09941073522171529,1.979355706841863e-06,0.04187316193593744
15,0.001116,0.000986,152631,13.931108677692066,19.68896538120833,0.10285444209782502,0.10285444209782502,1.8619484362646837e-06,0.04177176880078558
16,0.001116,0.000986,162105,14.004118951851256,19.687109698410513,0.10570493016252432,0.10570493016252432,1.7392196525522351e-06,0.04193439283251969
17,0.001116,0.000986,171578,13.952190079218454,19.703974046012583,0.10947867312973775,0.10947867312973775,1.6586609799248836e-06,0.04211554406625219
18,0.001116,0.000986,181052,13.893442878795074,19.694158625059714,0.11273786162146124,0.11273786162146124,1.5718527385184968e-06,0.04184495572143559
19,0.001116,0.000986,190526,13.715485916332447,19.707088981165796,0.11705140932601049,0.11705140932601049,1.5208390310905382e-06,0.04164706412244369
20,0.001116,0.000986,200000,13.676291411755669,19.69513736777611,0.12026150862000887,0.12026150862000887,1.4472835596640146e-06,0.04142499047752528
21,0.001116,0.000664,20000,2.8285402695904573,22.640654883048676,0.3960472672564107,0.3960472672564107,0.0009709524166344771,0.1856215882472097
22,0.001116,0.000664,29473,2.6009266288541033,22.784910264323088,0.4187210763550703,0.4187210763550703,0.0006544198827054366,0.17519882108455392
23,0.001116,0.000664,38947,2.4953156722820258,22.846160063594485,0.4389276767203028,0.4389276767203028,0.0004900854548772108,0.1691846042547509
24,0.001116,0.000664,48421,2.404186949380596,22.89062246923736,0.45793287937697924,0.45793287937697924,0.0003892140497264774,0.16330954954408325
25,0.001116,0.000664,57894,2.381089141141822,22.95886753513883,0.481691106540372,0.481691106540372,0.000328445888355927,0.16395650031009495
26,0.001116,0.000664,67368,2.329369951310921,22.934435566312924,0.5016760502127952,0.5016760502127952,0.0002804407966264928,0.16077387683430444
27,0.001116,0.000664,76842,2.2871127783948704,23.00625352346054,0.5226098518043955,0.5226098518043955,0.0002453440749842138,0.15871488852312107
28,0.001116,0.000664,86315,2.290451585827074,22.99993423197005,0.5443642979145273,0.5443642979145273,0.00021867564235979675,0.15909745669876033
29,0.001116,0.000664,95789,2.2667711973448763,23.02067322294539,0.5637537054563606,0.5637537054563606,0.00019563164766535544,0.15700288181508223
30,0.001116,0.000664,105263,2.238927832574012,22.990695044956414,0.585524979871508,0.585524979871508,0.00017828771427058667,0.15611292603659838
31,0.001116,0.000664,114736,2.2476991297515583,23.008200829566285,0.6066577286355781,0.6066577286355781,0.00016345483198467115,0.15638769150246143
32,0.001116,0.000664,124210,2.2310129962649703,23.00623750344028,0.626838034217758,0.626838034217758,0.00015043521981558634,0.1551492376249834
33,0.001116,0.000664,133684,2.233832946617818,22.998737958633903,0.6495463477468675,0.6495463477468675,0.00014038759515807192,0.15595963039808725
34,0.001116,0.000664,143157,2.217993771997542,23.019017896179843,0.670522544264524,0.670522544264524,0.0001309607285748774,0.15516059756186518
35,0.001116,0.000664,152631,2.2048983372745137,23.01769795484189,0.6912384432775369,0.6912384432775369,0.00012261907630346447,0.15437029617773043
36,0.001116,0.000664,162105,2.2108499447880274,23.022465000640477,0.713122537878853,0.713122537878853,0.00011564372763815312,0.15487404559785461
37,0.001116,0.000664,171578,2.199822622515574,23.050614121140185,0.7338209739783932,0.7338209739783932,0.00010907756111683828,0.15417769866513156
38,0.001116,0.000664,181052,2.1869126609268306,23.047657105800557,0.7555580362644722,0.7555580362644722,0.00010349177989169746,0.15384572597875149
39,0.001116,0.000664,190526,2.197057970690967,23.060544148977325,0.7759084777041263,0.7759084777041263,9.810465879829117e-05,0.15387985057047784
40,0.001116,0.000664,200000,2.1882926784954995,23.03932410363462,0.7966189849976582,0.7966189849976582,9.332496744015277e-05,0.15331446170768945
