Combination,Cap(uF),Total_Volume(mm^2)
47.0 and 47.0,94.0,431.968989869
47.0 and 100.0,147.0,558.881479092
47.0 and 220.0,267.0,794.037543195
47.0 and 330.0,377.0,969.966731796
47.0 and 470.0,517.0,1221.294144083
47.0 and 680.0,727.0,1786.780821729
47.0 and 820.0,867.0,2179.479903428
47.0 and 47.0 + 100.0,78.972789116,774.865974026
47.0 and 47.0 + 220.0,85.72659176,1010.022038129
47.0 and 47.0 + 330.0,88.140583554,1185.95122673
47.0 and 47.0 + 470.0,89.727272727,1437.278639017
47.0 and 47.0 + 680.0,90.961485557,2002.765316663
47.0 and 47.0 + 820.0,91.452133795,2395.464398362
47.0 and 47.0 + 1000.0,91.890162369,2886.338250486
47.0 and 100.0 + 220.0,115.75,1136.934527353
47.0 and 100.0 + 330.0,123.744186047,1312.863715954
47.0 and 100.0 + 470.0,129.456140351,1564.191128241
47.0 and 100.0 + 680.0,134.179487179,2129.677805887
47.0 and 100.0 + 820.0,136.130434783,2522.376887586
47.0 and 100.0 + 1000.0,137.909090909,3013.250739709
47.0 and 220.0 + 330.0,179.0,1548.019780056
47.0 and 220.0 + 470.0,196.855072464,1799.347192344
47.0 and 220.0 + 680.0,213.222222222,2364.83386999
47.0 and 220.0 + 820.0,220.461538462,2757.532951688
47.0 and 220.0 + 1000.0,227.327868852,3248.406803812
47.0 and 330.0 + 470.0,240.875,1975.276380945
47.0 and 330.0 + 680.0,269.178217822,2540.763058591
47.0 and 330.0 + 820.0,282.304347826,2933.462140289
47.0 and 330.0 + 1000.0,295.120300752,3424.335992413
47.0 and 470.0 + 680.0,324.913043478,2792.090470878
47.0 and 470.0 + 820.0,345.759689922,3184.789552577
47.0 and 470.0 + 1000.0,366.727891156,3675.6634047
47.0 and 680.0 + 820.0,418.733333333,3750.276230223
47.0 and 680.0 + 1000.0,451.761904762,4241.150082346
47.0 and 820.0 + 1000.0,497.549450549,4633.849164045
47.0 and 47.0 + 100.0 + 220.0,74.915766739,1352.919022287
47.0 and 47.0 + 100.0 + 330.0,76.148656268,1528.848210888
47.0 and 47.0 + 100.0 + 470.0,76.936305732,1780.175623175
47.0 and 47.0 + 100.0 + 680.0,77.536976878,2345.662300821
47.0 and 47.0 + 100.0 + 820.0,77.772916001,2738.36138252
47.0 and 47.0 + 100.0 + 1000.0,77.982201714,3229.235234643
47.0 and 47.0 + 220.0 + 330.0,81.659217877,1764.004274991
47.0 and 47.0 + 220.0 + 470.0,82.778546713,2015.331687278
47.0 and 47.0 + 220.0 + 680.0,83.639916623,2580.818364924
47.0 and 47.0 + 220.0 + 820.0,83.980111654,2973.517446623
47.0 and 47.0 + 220.0 + 1000.0,84.282757626,3464.391298746
47.0 and 47.0 + 330.0 + 470.0,84.829268293,2191.260875879
47.0 and 47.0 + 330.0 + 680.0,85.793541031,2756.747553525
47.0 and 47.0 + 330.0 + 820.0,86.175111659,3149.446635224
47.0 and 47.0 + 330.0 + 1000.0,86.514916817,3640.320487347
47.0 and 47.0 + 470.0 + 680.0,87.201257862,3008.074965812
47.0 and 47.0 + 470.0 + 820.0,87.611169652,3400.774047511
47.0 and 47.0 + 470.0 + 1000.0,87.976460331,3891.647899634
47.0 and 47.0 + 680.0 + 820.0,88.724566152,3966.260725157
47.0 and 47.0 + 680.0 + 1000.0,89.11025614,4457.134577281
47.0 and 47.0 + 820.0 + 1000.0,89.560240299,4849.833658979
47.0 and 100.0 + 220.0 + 330.0,103.896551724,1890.916764214
47.0 and 100.0 + 220.0 + 470.0,106.976798144,2142.244176501
47.0 and 100.0 + 220.0 + 680.0,109.437395659,2707.730854147
47.0 and 100.0 + 220.0 + 820.0,110.431786217,3100.429935846
47.0 and 100.0 + 220.0 + 1000.0,111.32748538,3591.30378797
47.0 and 100.0 + 330.0 + 470.0,112.97192684,2318.173365102
