Combination,Cap(uF),Total_Volume(mm^2)
47.0 and 47.0,94.0,431.968989869
47.0 and 100.0,147.0,558.881479092
47.0 and 220.0,267.0,794.037543195
47.0 and 330.0,377.0,969.966731796
47.0 and 470.0,517.0,1221.294144083
47.0 and 680.0,727.0,1786.780821729
47.0 and 820.0,867.0,2179.479903428
47.0 and 47.0 + 100.0,78.972789116,774.865974026
47.0 and 47.0 + 220.0,85.72659176,1010.022038129
47.0 and 47.0 + 330.0,88.140583554,1185.95122673
47.0 and 47.0 + 470.0,89.727272727,1437.278639017
47.0 and 47.0 + 680.0,90.961485557,2002.765316663
47.0 and 47.0 + 820.0,91.452133795,2395.464398362
47.0 and 47.0 + 1000.0,91.890162369,2886.338250486
47.0 and 47.0 + 1500.0,92.572074984,3499.93056564
47.0 and 47.0 + 1800.0,92.804006497,4113.522880794
47.0 and 47.0 + 2200.0,93.016911437,4727.115195948
47.0 and 47.0 + 2700.0,93.195850018,5458.517235612
47.0 and 100.0 + 220.0,115.75,1136.934527353
47.0 and 100.0 + 330.0,123.744186047,1312.863715954
47.0 and 100.0 + 470.0,129.456140351,1564.191128241
47.0 and 100.0 + 680.0,134.179487179,2129.677805887
47.0 and 100.0 + 820.0,136.130434783,2522.376887586
47.0 and 100.0 + 1000.0,137.909090909,3013.250739709
47.0 and 100.0 + 1500.0,140.75,3626.843054863
47.0 and 100.0 + 1800.0,141.736842105,4240.435370018
47.0 and 100.0 + 2200.0,142.652173913,4854.027685172
47.0 and 100.0 + 2700.0,143.428571429,5585.429724836
47.0 and 220.0 + 330.0,179.0,1548.019780056
47.0 and 220.0 + 470.0,196.855072464,1799.347192344
47.0 and 220.0 + 680.0,213.222222222,2364.83386999
47.0 and 220.0 + 820.0,220.461538462,2757.532951688
47.0 and 220.0 + 1000.0,227.327868852,3248.406803812
47.0 and 220.0 + 1500.0,238.860465116,3861.999118966
47.0 and 220.0 + 1800.0,243.03960396,4475.59143412
47.0 and 220.0 + 2200.0,247.0,5089.183749275
47.0 and 220.0 + 2700.0,250.424657534,5820.585788938
47.0 and 330.0 + 470.0,240.875,1975.276380945
47.0 and 330.0 + 680.0,269.178217822,2540.763058591
47.0 and 330.0 + 820.0,282.304347826,2933.462140289
47.0 and 330.0 + 1000.0,295.120300752,3424.335992413
47.0 and 330.0 + 1500.0,317.491803279,4037.928307567
47.0 and 330.0 + 1800.0,325.873239437,4651.520622721
47.0 and 330.0 + 2200.0,333.956521739,5265.112937876
47.0 and 330.0 + 2700.0,341.059405941,5996.51497754
47.0 and 470.0 + 680.0,324.913043478,2792.090470878
47.0 and 470.0 + 820.0,345.759689922,3184.789552577
47.0 and 470.0 + 1000.0,366.727891156,3675.6634047
47.0 and 470.0 + 1500.0,404.868020305,4289.255719854
47.0 and 470.0 + 1800.0,419.68722467,4902.848035009
47.0 and 470.0 + 2200.0,434.265917603,5516.440350163
47.0 and 470.0 + 2700.0,447.315457413,6247.842389827
47.0 and 680.0 + 820.0,418.733333333,3750.276230223
47.0 and 680.0 + 1000.0,451.761904762,4241.150082346
47.0 and 680.0 + 1500.0,514.889908257,4854.7423975
47.0 and 680.0 + 1800.0,540.548387097,5468.334712655
47.0 and 680.0 + 2200.0,566.444444444,6081.927027809
47.0 and 680.0 + 2700.0,590.195266272,6813.329067473
47.0 and 820.0 + 1000.0,497.549450549,4633.849164045
47.0 and 820.0 + 1500.0,577.172413793,5247.441479199
47.0 and 820.0 + 1800.0,610.358778626,5861.033794353
47.0 and 820.0 + 2200.0,644.350993377,6474.626109508
47.0 and 820.0 + 2700.0,675.977272727,7206.028149172
47.0 and 1000.0 + 1500.0,647.0,5738.315331323
47.0 and 1000.0 + 1800.0,689.857142857,6351.907646477
47.0 and 1000.0 + 2200.0,734.5,6965.499961631
47.0 and 1000.0 + 2700.0,776.72972973,7696.902001295
