Combination,Cap(uF),Total_Volume(mm^2)
47.0,47.0,215.98449493429828
100.0,100.0,342.8969841576919
220.0,220.0,578.0530482605219
330.0,330.0,753.9822368615503
470.0,470.0,1005.3096491487338
680.0,680.0,1570.7963267948967
820.0,820.0,1963.4954084936207
1000.0,1000.0,2454.369260617026
47.0 || 100.0,147.0,558.8814790919902
47.0 || 220.0,267.0,794.0375431948202
47.0 || 330.0,377.0,969.9667317958485
47.0 || 470.0,517.0,1221.294144083032
47.0 || 680.0,727.0,1786.780821729195
47.0 || 820.0,867.0,2179.479903427919
100.0 || 220.0,320.0,920.9500324182138
100.0 || 330.0,430.0,1096.8792210192423
100.0 || 470.0,570.0,1348.2066333064258
100.0 || 680.0,780.0,1913.6933109525885
100.0 || 820.0,920.0,2306.3923926513125
220.0 || 330.0,550.0,1332.0352851220723
220.0 || 470.0,690.0,1583.3626974092558
220.0 || 680.0,900.0,2148.8493750554185
330.0 || 470.0,800.0,1759.291886010284
47.0 || 100.0 || 220.0,367.0,1136.934527352512
47.0 || 100.0 || 330.0,477.0,1312.8637159535406
47.0 || 100.0 || 470.0,617.0,1564.191128240724
47.0 || 100.0 || 680.0,827.0,2129.6778058868867
47.0 || 100.0 || 820.0,967.0,2522.376887585611
47.0 || 220.0 || 330.0,597.0,1548.0197800563706
47.0 || 220.0 || 470.0,737.0,1799.347192343554
47.0 || 220.0 || 680.0,947.0,2364.8338699897167
47.0 || 330.0 || 470.0,847.0,1975.2763809445823
100.0 || 220.0 || 330.0,650.0,1674.9322692797641
100.0 || 220.0 || 470.0,790.0,1926.2596815669476
100.0 || 220.0 || 680.0,1000.0,2491.7463592131107
100.0 || 330.0 || 470.0,900.0,2102.1888701679763
47.0 || 100.0 || 220.0 || 330.0,697.0,1890.9167642140624
47.0 || 100.0 || 220.0 || 470.0,837.0,2142.244176501246
47.0 || 100.0 || 330.0 || 470.0,947.0,2318.173365102274
