Part_Number,OD(mm),ID(mm),Ht(mm),AL_Value(nH/T^2),N,L(uH)
T50B-75-200,12.7,7.7,6.35,43.5,27,31.7115
T50B-75-200,12.7,7.7,6.35,43.5,28,34.104
T50B-75-200,12.7,7.7,6.35,43.5,29,36.5835
T68A-75-200,17.5,9.4,6.35,58.0,23,30.682
T68A-75-200,17.5,9.4,6.35,58.0,24,33.408
T68A-75-200,17.5,9.4,6.35,58.0,25,36.25
T68A-75-200,17.5,9.4,6.35,58.0,26,39.208
T68A-75-200,17.5,9.4,6.35,58.0,27,42.282
T68A-75-200,17.5,9.4,6.35,58.0,28,45.472
T68A-75-200,17.5,9.4,6.35,58.0,29,48.778
T68A-75-200,17.5,9.4,6.35,58.0,30,52.2
T68A-75-200,17.5,9.4,6.35,58.0,31,55.738
T68A-75-200,17.5,9.4,6.35,58.0,32,59.392
T68A-75-200,17.5,9.4,6.35,58.0,33,63.162
T68A-75-200,17.5,9.4,6.35,58.0,34,67.048
T68A-75-200,17.5,9.4,6.35,58.0,35,71.05
T68A-75-200,17.5,9.4,6.35,58.0,36,75.168
T68A-75-200,17.5,9.4,6.35,58.0,37,79.402
T68A-75-200,17.5,9.4,6.35,58.0,38,83.752
T68A-75-200,17.5,9.4,6.35,58.0,39,88.218
T68A-75-200,17.5,9.4,6.35,58.0,40,92.8
T68A-75-200,17.5,9.4,6.35,58.0,41,97.498
T68A-75-200,17.5,9.4,6.35,58.0,42,102.312
T68A-75-200,17.5,9.4,6.35,58.0,43,107.242
T68A-75-200,17.5,9.4,6.35,58.0,44,112.288
T130-75-219,33.0,19.8,11.1,81.0,20,32.4
T130-75-220,33.0,19.8,11.1,81.0,21,35.721
T130-75-221,33.0,19.8,11.1,81.0,22,39.204
T130-75-222,33.0,19.8,11.1,81.0,23,42.849
T130-75-223,33.0,19.8,11.1,81.0,24,46.656
T130-75-224,33.0,19.8,11.1,81.0,25,50.625
T130-75-225,33.0,19.8,11.1,81.0,26,54.756
T130-75-226,33.0,19.8,11.1,81.0,27,59.049
T130-75-227,33.0,19.8,11.1,81.0,28,63.504
T130-75-228,33.0,19.8,11.1,81.0,29,68.121
T130-75-229,33.0,19.8,11.1,81.0,30,72.9
T130-75-230,33.0,19.8,11.1,81.0,31,77.841
T130-75-231,33.0,19.8,11.1,81.0,32,82.944
T130-75-232,33.0,19.8,11.1,81.0,33,88.209
T130-75-233,33.0,19.8,11.1,81.0,34,93.636
T130-75-234,33.0,19.8,11.1,81.0,35,99.225
T130-75-235,33.0,19.8,11.1,81.0,36,104.976
T130-75-236,33.0,19.8,11.1,81.0,37,110.889
T130-75-237,33.0,19.8,11.1,81.0,38,116.964
T130-75-238,33.0,19.8,11.1,81.0,39,123.201
T130-75-239,33.0,19.8,11.1,81.0,40,129.6
T130-75-240,33.0,19.8,11.1,81.0,41,136.161
T130-75-241,33.0,19.8,11.1,81.0,42,142.884
T130-75-242,33.0,19.8,11.1,81.0,43,149.769
T130-75-243,33.0,19.8,11.1,81.0,44,156.816
T130-75-244,33.0,19.8,11.1,81.0,45,164.025
T130-75-245,33.0,19.8,11.1,81.0,46,171.396
T130-75-246,33.0,19.8,11.1,81.0,47,178.929
T130-75-247,33.0,19.8,11.1,81.0,48,186.624
T130-75-248,33.0,19.8,11.1,81.0,49,194.481
T130-75-249,33.0,19.8,11.1,81.0,50,202.5
T130-75-250,33.0,19.8,11.1,81.0,51,210.681
T130-75-251,33.0,19.8,11.1,81.0,52,219.024
T130-75-252,33.0,19.8,11.1,81.0,53,227.529
T130-75-253,33.0,19.8,11.1,81.0,54,236.196
T130-75-254,33.0,19.8,11.1,81.0,55,245.025
T130-75-255,33.0,19.8,11.1,81.0,56,254.016
T130-75-256,33.0,19.8,11.1,81.0,57,263.169
T130-75-257,33.0,19.8,11.1,81.0,58,272.484
T130-75-258,33.0,19.8,11.1,81.0,59,281.961
T130-75-259,33.0,19.8,11.1,81.0,60,291.6
T130-75-260,33.0,19.8,11.1,81.0,61,301.401
T130-75-261,33.0,19.8,11.1,81.0,62,311.364
T130-75-262,33.0,19.8,11.1,81.0,63,321.489
T130-75-263,33.0,19.8,11.1,81.0,64,331.776
T130-75-264,33.0,19.8,11.1,81.0,65,342.225
T130-75-265,33.0,19.8,11.1,81.0,66,352.836
T130-75-266,33.0,19.8,11.1,81.0,67,363.609
T130-75-267,33.0,19.8,11.1,81.0,68,374.544
T130-75-268,33.0,19.8,11.1,81.0,69,385.641
T130-75-269,33.0,19.8,11.1,81.0,70,396.9
T130-75-270,33.0,19.8,11.1,81.0,71,408.321
T130-75-271,33.0,19.8,11.1,81.0,72,419.904
T130-75-272,33.0,19.8,11.1,81.0,73,431.649
T130-75-273,33.0,19.8,11.1,81.0,74,443.556
T130-75-274,33.0,19.8,11.1,81.0,75,455.625
T130-75-275,33.0,19.8,11.1,81.0,76,467.856
T130-75-276,33.0,19.8,11.1,81.0,77,480.249
T130-75-277,33.0,19.8,11.1,81.0,78,492.804
T130-75-278,33.0,19.8,11.1,81.0,79,505.521
