Part_Number,OD(mm),ID(mm),Ht(mm),AL_Value(nH/T^2),N,L(uH),Vol(mm^3)
T50B-75-200,12.7,7.7,6.35,43.5,27,31.7115,508.7023904325272
T50B-75-200,12.7,7.7,6.35,43.5,28,34.104,508.7023904325272
T50B-75-200,12.7,7.7,6.35,43.5,29,36.5835,508.7023904325272
T68A-75-200,17.5,9.4,6.35,58.0,23,30.682,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,24,33.408,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,25,36.25,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,26,39.208,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,27,42.282,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,28,45.472,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,29,48.778,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,30,52.2,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,31,55.738,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,32,59.392,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,33,63.162,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,34,67.048,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,35,71.05,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,36,75.168,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,37,79.402,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,38,83.752,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,39,88.218,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,40,92.8,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,41,97.498,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,42,102.312,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,43,107.242,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,44,112.288,1086.6780769739544
T130-75-219,33.0,19.8,11.1,81.0,20,32.4,6076.041253972489
T130-75-220,33.0,19.8,11.1,81.0,21,35.721,6076.041253972489
T130-75-221,33.0,19.8,11.1,81.0,22,39.204,6076.041253972489
T130-75-222,33.0,19.8,11.1,81.0,23,42.849,6076.041253972489
T130-75-223,33.0,19.8,11.1,81.0,24,46.656,6076.041253972489
T130-75-224,33.0,19.8,11.1,81.0,25,50.625,6076.041253972489
T130-75-225,33.0,19.8,11.1,81.0,26,54.756,6076.041253972489
T130-75-226,33.0,19.8,11.1,81.0,27,59.049,6076.041253972489
T130-75-227,33.0,19.8,11.1,81.0,28,63.504,6076.041253972489
T130-75-228,33.0,19.8,11.1,81.0,29,68.121,6076.041253972489
T130-75-229,33.0,19.8,11.1,81.0,30,72.9,6076.041253972489
T130-75-230,33.0,19.8,11.1,81.0,31,77.841,6076.041253972489
T130-75-231,33.0,19.8,11.1,81.0,32,82.944,6076.041253972489
T130-75-232,33.0,19.8,11.1,81.0,33,88.209,6076.041253972489
T130-75-233,33.0,19.8,11.1,81.0,34,93.636,6076.041253972489
T130-75-234,33.0,19.8,11.1,81.0,35,99.225,6076.041253972489
T130-75-235,33.0,19.8,11.1,81.0,36,104.976,6076.041253972489
T130-75-236,33.0,19.8,11.1,81.0,37,110.889,6076.041253972489
T130-75-237,33.0,19.8,11.1,81.0,38,116.964,6076.041253972489
T130-75-238,33.0,19.8,11.1,81.0,39,123.201,6076.041253972489
T130-75-239,33.0,19.8,11.1,81.0,40,129.6,6076.041253972489
T130-75-240,33.0,19.8,11.1,81.0,41,136.161,6076.041253972489
T130-75-241,33.0,19.8,11.1,81.0,42,142.884,6076.041253972489
T130-75-242,33.0,19.8,11.1,81.0,43,149.769,6076.041253972489
T130-75-243,33.0,19.8,11.1,81.0,44,156.816,6076.041253972489
T130-75-244,33.0,19.8,11.1,81.0,45,164.025,6076.041253972489
T130-75-245,33.0,19.8,11.1,81.0,46,171.396,6076.041253972489
T130-75-246,33.0,19.8,11.1,81.0,47,178.929,6076.041253972489
T130-75-247,33.0,19.8,11.1,81.0,48,186.624,6076.041253972489
T130-75-248,33.0,19.8,11.1,81.0,49,194.481,6076.041253972489
T130-75-249,33.0,19.8,11.1,81.0,50,202.5,6076.041253972489
T130-75-250,33.0,19.8,11.1,81.0,51,210.681,6076.041253972489
T130-75-251,33.0,19.8,11.1,81.0,52,219.024,6076.041253972489
T130-75-252,33.0,19.8,11.1,81.0,53,227.529,6076.041253972489
T130-75-253,33.0,19.8,11.1,81.0,54,236.196,6076.041253972489
T130-75-254,33.0,19.8,11.1,81.0,55,245.025,6076.041253972489
T130-75-255,33.0,19.8,11.1,81.0,56,254.016,6076.041253972489
T130-75-256,33.0,19.8,11.1,81.0,57,263.169,6076.041253972489
T130-75-257,33.0,19.8,11.1,81.0,58,272.484,6076.041253972489
T130-75-258,33.0,19.8,11.1,81.0,59,281.961,6076.041253972489
T130-75-259,33.0,19.8,11.1,81.0,60,291.6,6076.041253972489
T130-75-260,33.0,19.8,11.1,81.0,61,301.401,6076.041253972489
T130-75-261,33.0,19.8,11.1,81.0,62,311.364,6076.041253972489
T130-75-262,33.0,19.8,11.1,81.0,63,321.489,6076.041253972489
T130-75-263,33.0,19.8,11.1,81.0,64,331.776,6076.041253972489
T130-75-264,33.0,19.8,11.1,81.0,65,342.225,6076.041253972489
T130-75-265,33.0,19.8,11.1,81.0,66,352.836,6076.041253972489
T130-75-266,33.0,19.8,11.1,81.0,67,363.609,6076.041253972489
T130-75-267,33.0,19.8,11.1,81.0,68,374.544,6076.041253972489
T130-75-268,33.0,19.8,11.1,81.0,69,385.641,6076.041253972489
T130-75-269,33.0,19.8,11.1,81.0,70,396.9,6076.041253972489
T130-75-270,33.0,19.8,11.1,81.0,71,408.321,6076.041253972489
T130-75-271,33.0,19.8,11.1,81.0,72,419.904,6076.041253972489
T130-75-272,33.0,19.8,11.1,81.0,73,431.649,6076.041253972489
T130-75-273,33.0,19.8,11.1,81.0,74,443.556,6076.041253972489
T130-75-274,33.0,19.8,11.1,81.0,75,455.625,6076.041253972489
T130-75-275,33.0,19.8,11.1,81.0,76,467.856,6076.041253972489
T130-75-276,33.0,19.8,11.1,81.0,77,480.249,6076.041253972489
T130-75-277,33.0,19.8,11.1,81.0,78,492.804,6076.041253972489
T130-75-278,33.0,19.8,11.1,81.0,79,505.521,6076.041253972489
T130-75-279,33.0,19.8,11.1,81.0,80,518.4,6076.041253972489
T130-75-280,33.0,19.8,11.1,81.0,81,531.441,6076.041253972489
T130-75-281,33.0,19.8,11.1,81.0,82,544.644,6076.041253972489
T130-75-282,33.0,19.8,11.1,81.0,83,558.009,6076.041253972489
T130-75-283,33.0,19.8,11.1,81.0,84,571.536,6076.041253972489
T130-75-284,33.0,19.8,11.1,81.0,85,585.225,6076.041253972489
T130-75-285,33.0,19.8,11.1,81.0,86,599.076,6076.041253972489
T130-75-286,33.0,19.8,11.1,81.0,87,613.089,6076.041253972489
T130-75-287,33.0,19.8,11.1,81.0,88,627.264,6076.041253972489
T130-75-288,33.0,19.8,11.1,81.0,89,641.601,6076.041253972489
T130-75-289,33.0,19.8,11.1,81.0,90,656.1,6076.041253972489
T130-75-290,33.0,19.8,11.1,81.0,91,670.761,6076.041253972489
T130-75-291,33.0,19.8,11.1,81.0,92,685.584,6076.041253972489
T130-75-292,33.0,19.8,11.1,81.0,93,700.569,6076.041253972489
T130-75-293,33.0,19.8,11.1,81.0,94,715.716,6076.041253972489
T130-75-294,33.0,19.8,11.1,81.0,95,731.025,6076.041253972489
T130-75-295,33.0,19.8,11.1,81.0,96,746.496,6076.041253972489
T130-75-296,33.0,19.8,11.1,81.0,97,762.129,6076.041253972489
T130-75-297,33.0,19.8,11.1,81.0,98,777.924,6076.041253972489
T130-75-298,33.0,19.8,11.1,81.0,99,793.881,6076.041253972489
T130-75-299,33.0,19.8,11.1,81.0,100,810.0,6076.041253972489
T130-75-300,33.0,19.8,11.1,81.0,101,826.281,6076.041253972489
T130-75-301,33.0,19.8,11.1,81.0,102,842.724,6076.041253972489
T130-75-302,33.0,19.8,11.1,81.0,103,859.329,6076.041253972489
T130-75-303,33.0,19.8,11.1,81.0,104,876.096,6076.041253972489
T130-75-304,33.0,19.8,11.1,81.0,105,893.025,6076.041253972489
T130-75-305,33.0,19.8,11.1,81.0,106,910.116,6076.041253972489
T130-75-306,33.0,19.8,11.1,81.0,107,927.369,6076.041253972489
T130-75-307,33.0,19.8,11.1,81.0,108,944.784,6076.041253972489
T130-75-308,33.0,19.8,11.1,81.0,109,962.361,6076.041253972489
T130-75-309,33.0,19.8,11.1,81.0,110,980.1,6076.041253972489
T130-75-310,33.0,19.8,11.1,81.0,111,998.001,6076.041253972489
T130-75-311,33.0,19.8,11.1,81.0,112,1016.064,6076.041253972489
T130-75-312,33.0,19.8,11.1,81.0,113,1034.289,6076.041253972489
T130-75-313,33.0,19.8,11.1,81.0,114,1052.676,6076.041253972489
T130-75-314,33.0,19.8,11.1,81.0,115,1071.225,6076.041253972489
T130-75-315,33.0,19.8,11.1,81.0,116,1089.936,6076.041253972489
T130-75-316,33.0,19.8,11.1,81.0,117,1108.809,6076.041253972489
T130-75-317,33.0,19.8,11.1,81.0,118,1127.844,6076.041253972489
T130-75-318,33.0,19.8,11.1,81.0,119,1147.041,6076.041253972489
T130-75-319,33.0,19.8,11.1,81.0,120,1166.4,6076.041253972489
T130-75-320,33.0,19.8,11.1,81.0,121,1185.921,6076.041253972489
T130-75-321,33.0,19.8,11.1,81.0,122,1205.604,6076.041253972489
T130-75-322,33.0,19.8,11.1,81.0,123,1225.449,6076.041253972489
T130-75-323,33.0,19.8,11.1,81.0,124,1245.456,6076.041253972489
T130-75-324,33.0,19.8,11.1,81.0,125,1265.625,6076.041253972489
T130-75-325,33.0,19.8,11.1,81.0,126,1285.956,6076.041253972489
T130-75-326,33.0,19.8,11.1,81.0,127,1306.449,6076.041253972489
T130-75-327,33.0,19.8,11.1,81.0,128,1327.104,6076.041253972489
T130-75-328,33.0,19.8,11.1,81.0,129,1347.921,6076.041253972489
T130-75-329,33.0,19.8,11.1,81.0,130,1368.9,6076.041253972489
T130-75-330,33.0,19.8,11.1,81.0,131,1390.041,6076.041253972489
T130-75-331,33.0,19.8,11.1,81.0,132,1411.344,6076.041253972489
T130-75-332,33.0,19.8,11.1,81.0,133,1432.809,6076.041253972489
T130-75-333,33.0,19.8,11.1,81.0,134,1454.436,6076.041253972489
T130-75-334,33.0,19.8,11.1,81.0,135,1476.225,6076.041253972489
T130-75-335,33.0,19.8,11.1,81.0,136,1498.176,6076.041253972489
T130-75-336,33.0,19.8,11.1,81.0,137,1520.289,6076.041253972489
T130-75-337,33.0,19.8,11.1,81.0,138,1542.564,6076.041253972489
T130-75-338,33.0,19.8,11.1,81.0,139,1565.001,6076.041253972489
T130-75-339,33.0,19.8,11.1,81.0,140,1587.6,6076.041253972489
T130-75-340,33.0,19.8,11.1,81.0,141,1610.361,6076.041253972489
T130-75-341,33.0,19.8,11.1,81.0,142,1633.284,6076.041253972489
T130-75-342,33.0,19.8,11.1,81.0,143,1656.369,6076.041253972489
T130-75-343,33.0,19.8,11.1,81.0,144,1679.616,6076.041253972489
T130-75-344,33.0,19.8,11.1,81.0,145,1703.025,6076.041253972489
T130-75-345,33.0,19.8,11.1,81.0,146,1726.596,6076.041253972489
T130-75-346,33.0,19.8,11.1,81.0,147,1750.329,6076.041253972489
T130-75-347,33.0,19.8,11.1,81.0,148,1774.224,6076.041253972489
T130-75-348,33.0,19.8,11.1,81.0,149,1798.281,6076.041253972489
T130-75-349,33.0,19.8,11.1,81.0,150,1822.5,6076.041253972489
T130-75-350,33.0,19.8,11.1,81.0,151,1846.881,6076.041253972489
T130-75-351,33.0,19.8,11.1,81.0,152,1871.424,6076.041253972489
T130-75-352,33.0,19.8,11.1,81.0,153,1896.129,6076.041253972489
T130-75-353,33.0,19.8,11.1,81.0,154,1920.996,6076.041253972489
T130-75-354,33.0,19.8,11.1,81.0,155,1946.025,6076.041253972489
T130-75-355,33.0,19.8,11.1,81.0,156,1971.216,6076.041253972489
T130-75-356,33.0,19.8,11.1,81.0,157,1996.569,6076.041253972489
T141-75-219,35.9,22.4,10.5,75.0,20,30.0,6490.550057270598
T141-75-220,35.9,22.4,10.5,75.0,21,33.075,6490.550057270598
T141-75-221,35.9,22.4,10.5,75.0,22,36.3,6490.550057270598
T141-75-222,35.9,22.4,10.5,75.0,23,39.675,6490.550057270598
T141-75-223,35.9,22.4,10.5,75.0,24,43.2,6490.550057270598
T141-75-224,35.9,22.4,10.5,75.0,25,46.875,6490.550057270598
T141-75-225,35.9,22.4,10.5,75.0,26,50.7,6490.550057270598
T141-75-226,35.9,22.4,10.5,75.0,27,54.675,6490.550057270598
T141-75-227,35.9,22.4,10.5,75.0,28,58.8,6490.550057270598
T141-75-228,35.9,22.4,10.5,75.0,29,63.075,6490.550057270598
T141-75-229,35.9,22.4,10.5,75.0,30,67.5,6490.550057270598
T141-75-230,35.9,22.4,10.5,75.0,31,72.075,6490.550057270598
T141-75-231,35.9,22.4,10.5,75.0,32,76.8,6490.550057270598
T141-75-232,35.9,22.4,10.5,75.0,33,81.675,6490.550057270598
T141-75-233,35.9,22.4,10.5,75.0,34,86.7,6490.550057270598
T141-75-234,35.9,22.4,10.5,75.0,35,91.875,6490.550057270598
T141-75-235,35.9,22.4,10.5,75.0,36,97.2,6490.550057270598
T141-75-236,35.9,22.4,10.5,75.0,37,102.675,6490.550057270598
T141-75-237,35.9,22.4,10.5,75.0,38,108.3,6490.550057270598
T141-75-238,35.9,22.4,10.5,75.0,39,114.075,6490.550057270598
T141-75-239,35.9,22.4,10.5,75.0,40,120.0,6490.550057270598
T141-75-240,35.9,22.4,10.5,75.0,41,126.075,6490.550057270598
T141-75-241,35.9,22.4,10.5,75.0,42,132.3,6490.550057270598
T141-75-242,35.9,22.4,10.5,75.0,43,138.675,6490.550057270598
T141-75-243,35.9,22.4,10.5,75.0,44,145.2,6490.550057270598
T141-75-244,35.9,22.4,10.5,75.0,45,151.875,6490.550057270598
T141-75-245,35.9,22.4,10.5,75.0,46,158.7,6490.550057270598
T141-75-246,35.9,22.4,10.5,75.0,47,165.675,6490.550057270598
T141-75-247,35.9,22.4,10.5,75.0,48,172.8,6490.550057270598
T141-75-248,35.9,22.4,10.5,75.0,49,180.075,6490.550057270598
T141-75-249,35.9,22.4,10.5,75.0,50,187.5,6490.550057270598
T141-75-250,35.9,22.4,10.5,75.0,51,195.075,6490.550057270598
T141-75-251,35.9,22.4,10.5,75.0,52,202.8,6490.550057270598
T141-75-252,35.9,22.4,10.5,75.0,53,210.675,6490.550057270598
T141-75-253,35.9,22.4,10.5,75.0,54,218.7,6490.550057270598
T141-75-254,35.9,22.4,10.5,75.0,55,226.875,6490.550057270598
T141-75-255,35.9,22.4,10.5,75.0,56,235.2,6490.550057270598
T141-75-256,35.9,22.4,10.5,75.0,57,243.675,6490.550057270598
T141-75-257,35.9,22.4,10.5,75.0,58,252.3,6490.550057270598
T141-75-258,35.9,22.4,10.5,75.0,59,261.075,6490.550057270598
T141-75-259,35.9,22.4,10.5,75.0,60,270.0,6490.550057270598
T141-75-260,35.9,22.4,10.5,75.0,61,279.075,6490.550057270598
T141-75-261,35.9,22.4,10.5,75.0,62,288.3,6490.550057270598
T141-75-262,35.9,22.4,10.5,75.0,63,297.675,6490.550057270598
T141-75-263,35.9,22.4,10.5,75.0,64,307.2,6490.550057270598
T141-75-264,35.9,22.4,10.5,75.0,65,316.875,6490.550057270598
T141-75-265,35.9,22.4,10.5,75.0,66,326.7,6490.550057270598
T141-75-266,35.9,22.4,10.5,75.0,67,336.675,6490.550057270598
T141-75-267,35.9,22.4,10.5,75.0,68,346.8,6490.550057270598
T141-75-268,35.9,22.4,10.5,75.0,69,357.075,6490.550057270598
T141-75-269,35.9,22.4,10.5,75.0,70,367.5,6490.550057270598
T141-75-270,35.9,22.4,10.5,75.0,71,378.075,6490.550057270598
T141-75-271,35.9,22.4,10.5,75.0,72,388.8,6490.550057270598
T141-75-272,35.9,22.4,10.5,75.0,73,399.675,6490.550057270598
T141-75-273,35.9,22.4,10.5,75.0,74,410.7,6490.550057270598
T141-75-274,35.9,22.4,10.5,75.0,75,421.875,6490.550057270598
T141-75-275,35.9,22.4,10.5,75.0,76,433.2,6490.550057270598
T141-75-276,35.9,22.4,10.5,75.0,77,444.675,6490.550057270598
T141-75-277,35.9,22.4,10.5,75.0,78,456.3,6490.550057270598
T141-75-278,35.9,22.4,10.5,75.0,79,468.075,6490.550057270598
T141-75-279,35.9,22.4,10.5,75.0,80,480.0,6490.550057270598
T141-75-280,35.9,22.4,10.5,75.0,81,492.075,6490.550057270598
T141-75-281,35.9,22.4,10.5,75.0,82,504.3,6490.550057270598
T141-75-282,35.9,22.4,10.5,75.0,83,516.675,6490.550057270598
T141-75-283,35.9,22.4,10.5,75.0,84,529.2,6490.550057270598
T141-75-284,35.9,22.4,10.5,75.0,85,541.875,6490.550057270598
T141-75-285,35.9,22.4,10.5,75.0,86,554.7,6490.550057270598
T141-75-286,35.9,22.4,10.5,75.0,87,567.675,6490.550057270598
T141-75-287,35.9,22.4,10.5,75.0,88,580.8,6490.550057270598
T141-75-288,35.9,22.4,10.5,75.0,89,594.075,6490.550057270598
T141-75-289,35.9,22.4,10.5,75.0,90,607.5,6490.550057270598
T141-75-290,35.9,22.4,10.5,75.0,91,621.075,6490.550057270598
T141-75-291,35.9,22.4,10.5,75.0,92,634.8,6490.550057270598
T141-75-292,35.9,22.4,10.5,75.0,93,648.675,6490.550057270598
T141-75-293,35.9,22.4,10.5,75.0,94,662.7,6490.550057270598
T141-75-294,35.9,22.4,10.5,75.0,95,676.875,6490.550057270598
T141-75-295,35.9,22.4,10.5,75.0,96,691.2,6490.550057270598
T141-75-296,35.9,22.4,10.5,75.0,97,705.675,6490.550057270598
T141-75-297,35.9,22.4,10.5,75.0,98,720.3,6490.550057270598
T141-75-298,35.9,22.4,10.5,75.0,99,735.075,6490.550057270598
T141-75-299,35.9,22.4,10.5,75.0,100,750.0,6490.550057270598
T141-75-300,35.9,22.4,10.5,75.0,101,765.075,6490.550057270598
T141-75-301,35.9,22.4,10.5,75.0,102,780.3,6490.550057270598
T141-75-302,35.9,22.4,10.5,75.0,103,795.675,6490.550057270598
T141-75-303,35.9,22.4,10.5,75.0,104,811.2,6490.550057270598
T141-75-304,35.9,22.4,10.5,75.0,105,826.875,6490.550057270598
T141-75-305,35.9,22.4,10.5,75.0,106,842.7,6490.550057270598
T141-75-306,35.9,22.4,10.5,75.0,107,858.675,6490.550057270598
T141-75-307,35.9,22.4,10.5,75.0,108,874.8,6490.550057270598
T141-75-308,35.9,22.4,10.5,75.0,109,891.075,6490.550057270598
T141-75-309,35.9,22.4,10.5,75.0,110,907.5,6490.550057270598
T141-75-310,35.9,22.4,10.5,75.0,111,924.075,6490.550057270598
T141-75-311,35.9,22.4,10.5,75.0,112,940.8,6490.550057270598
T141-75-312,35.9,22.4,10.5,75.0,113,957.675,6490.550057270598
T141-75-313,35.9,22.4,10.5,75.0,114,974.7,6490.550057270598
T141-75-314,35.9,22.4,10.5,75.0,115,991.875,6490.550057270598
T141-75-315,35.9,22.4,10.5,75.0,116,1009.2,6490.550057270598
T141-75-316,35.9,22.4,10.5,75.0,117,1026.675,6490.550057270598
T141-75-317,35.9,22.4,10.5,75.0,118,1044.3,6490.550057270598
T141-75-318,35.9,22.4,10.5,75.0,119,1062.075,6490.550057270598
T141-75-319,35.9,22.4,10.5,75.0,120,1080.0,6490.550057270598
T141-75-320,35.9,22.4,10.5,75.0,121,1098.075,6490.550057270598
T141-75-321,35.9,22.4,10.5,75.0,122,1116.3,6490.550057270598
T141-75-322,35.9,22.4,10.5,75.0,123,1134.675,6490.550057270598
T141-75-323,35.9,22.4,10.5,75.0,124,1153.2,6490.550057270598
T141-75-324,35.9,22.4,10.5,75.0,125,1171.875,6490.550057270598
T141-75-325,35.9,22.4,10.5,75.0,126,1190.7,6490.550057270598
T141-75-326,35.9,22.4,10.5,75.0,127,1209.675,6490.550057270598
T141-75-327,35.9,22.4,10.5,75.0,128,1228.8,6490.550057270598
T141-75-328,35.9,22.4,10.5,75.0,129,1248.075,6490.550057270598
