Combination,Cap(uF),Vol(mm^3)
47.0,4.700e-05,215.98449493429828
100.0,1.000e-04,342.8969841576919
220.0,2.200e-04,578.0530482605219
330.0,3.300e-04,753.9822368615503
470.0,4.700e-04,1005.3096491487338
680.0,6.800e-04,1570.796326794897
820.0,8.200e-04,1963.4954084936207
1000.0,1.000e-03,2454.369260617026
47.0 || 100.0,1.470e-04,558.8814790919902
47.0 || 220.0,2.670e-04,794.0375431948202
47.0 || 330.0,3.770e-04,969.9667317958484
47.0 || 470.0,5.170e-04,1221.294144083032
47.0 || 680.0,7.270e-04,1786.780821729195
47.0 || 820.0,8.670e-04,2179.479903427919
100.0 || 220.0,3.200e-04,920.9500324182138
100.0 || 330.0,4.300e-04,1096.8792210192423
100.0 || 470.0,5.700e-04,1348.2066333064258
100.0 || 680.0,7.800e-04,1913.6933109525885
100.0 || 820.0,9.200e-04,2306.3923926513125
220.0 || 330.0,5.500e-04,1332.0352851220723
220.0 || 470.0,6.900e-04,1583.3626974092558
220.0 || 680.0,9.000e-04,2148.8493750554185
330.0 || 470.0,8.000e-04,1759.291886010284
47.0 || 100.0 || 220.0,3.670e-04,1136.934527352512
47.0 || 100.0 || 330.0,4.770e-04,1312.8637159535406
47.0 || 100.0 || 470.0,6.170e-04,1564.191128240724
47.0 || 100.0 || 680.0,8.270e-04,2129.6778058868867
47.0 || 100.0 || 820.0,9.670e-04,2522.376887585611
47.0 || 220.0 || 330.0,5.970e-04,1548.0197800563706
47.0 || 220.0 || 470.0,7.370e-04,1799.347192343554
47.0 || 220.0 || 680.0,9.470e-04,2364.8338699897167
47.0 || 330.0 || 470.0,8.470e-04,1975.2763809445823
100.0 || 220.0 || 330.0,6.500e-04,1674.932269279764
100.0 || 220.0 || 470.0,7.900e-04,1926.259681566948
100.0 || 220.0 || 680.0,1.000e-03,2491.7463592131107
100.0 || 330.0 || 470.0,9.000e-04,2102.1888701679763
47.0 || 100.0 || 220.0 || 330.0,6.970e-04,1890.9167642140624
47.0 || 100.0 || 220.0 || 470.0,8.370e-04,2142.244176501246
47.0 || 100.0 || 330.0 || 470.0,9.470e-04,2318.173365102274
47.0,4.700e-05,215.98449493429828
100.0,1.000e-04,342.8969841576919
220.0,2.200e-04,578.0530482605219
330.0,3.300e-04,753.9822368615503
470.0,4.700e-04,1005.3096491487338
680.0,6.800e-04,1570.796326794897
820.0,8.200e-04,1963.4954084936207
1000.0,1.000e-03,2454.369260617026
47.0 + 100.0,3.197e-05,558.8814790919902
47.0 + 220.0,3.873e-05,794.0375431948202
47.0 + 330.0,4.114e-05,969.9667317958484
47.0 + 470.0,4.273e-05,1221.294144083032
47.0 + 680.0,4.396e-05,1786.780821729195
47.0 + 820.0,4.445e-05,2179.479903427919
47.0 + 1000.0,4.489e-05,2670.3537555513244
100.0 + 220.0,6.875e-05,920.9500324182138
100.0 + 330.0,7.674e-05,1096.8792210192423
100.0 + 470.0,8.246e-05,1348.2066333064258
100.0 + 680.0,8.718e-05,1913.6933109525885
100.0 + 820.0,8.913e-05,2306.3923926513125
100.0 + 1000.0,9.091e-05,2797.266244774718
220.0 + 330.0,1.320e-04,1332.0352851220723
220.0 + 470.0,1.499e-04,1583.3626974092558
220.0 + 680.0,1.662e-04,2148.8493750554185
220.0 + 820.0,1.735e-04,2541.5484567541425
220.0 + 1000.0,1.803e-04,3032.422308877548
330.0 + 470.0,1.939e-04,1759.291886010284
330.0 + 680.0,2.222e-04,2324.7785636564467
330.0 + 820.0,2.353e-04,2717.477645355172
330.0 + 1000.0,2.481e-04,3208.3514974785767
470.0 + 680.0,2.779e-04,2576.1059759436303
470.0 + 820.0,2.988e-04,2968.8050576423548
470.0 + 1000.0,3.197e-04,3459.67890976576
680.0 + 820.0,3.717e-04,3534.291735288517
680.0 + 1000.0,4.048e-04,4025.165587411923
820.0 + 1000.0,4.505e-04,4417.864669110647
47.0 + 100.0 + 220.0,2.792e-05,1136.934527352512
47.0 + 100.0 + 330.0,2.915e-05,1312.8637159535406
47.0 + 100.0 + 470.0,2.994e-05,1564.191128240724
47.0 + 100.0 + 680.0,3.054e-05,2129.6778058868867
47.0 + 100.0 + 820.0,3.077e-05,2522.376887585611
47.0 + 100.0 + 1000.0,3.098e-05,3013.250739709016
47.0 + 220.0 + 330.0,3.466e-05,1548.0197800563706
47.0 + 220.0 + 470.0,3.578e-05,1799.347192343554
47.0 + 220.0 + 680.0,3.664e-05,2364.8338699897167
47.0 + 220.0 + 820.0,3.698e-05,2757.532951688441
47.0 + 220.0 + 1000.0,3.728e-05,3248.406803811846
