Part_Number,OD(mm),ID(mm),Ht(mm),AL_Value(nH/T^2),N,L(uH),Vol(mm^3)
T50B-75-200,12.7,7.7,6.35,43.5,27,3.171e-05,508.7023904325272
T50B-75-200,12.7,7.7,6.35,43.5,28,3.410e-05,508.7023904325272
T50B-75-200,12.7,7.7,6.35,43.5,29,3.658e-05,508.7023904325272
T68A-75-200,17.5,9.4,6.35,58.0,23,3.068e-05,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,24,3.341e-05,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,25,3.625e-05,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,26,3.921e-05,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,27,4.228e-05,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,28,4.547e-05,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,29,4.878e-05,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,30,5.220e-05,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,31,5.574e-05,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,32,5.939e-05,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,33,6.316e-05,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,34,6.705e-05,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,35,7.105e-05,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,36,7.517e-05,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,37,7.940e-05,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,38,8.375e-05,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,39,8.822e-05,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,40,9.280e-05,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,41,9.750e-05,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,42,1.023e-04,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,43,1.072e-04,1086.6780769739544
T68A-75-200,17.5,9.4,6.35,58.0,44,1.123e-04,1086.6780769739544
T130-75-219,33.0,19.8,11.1,81.0,20,3.240e-05,6076.041253972489
T130-75-220,33.0,19.8,11.1,81.0,21,3.572e-05,6076.041253972489
T130-75-221,33.0,19.8,11.1,81.0,22,3.920e-05,6076.041253972489
T130-75-222,33.0,19.8,11.1,81.0,23,4.285e-05,6076.041253972489
T130-75-223,33.0,19.8,11.1,81.0,24,4.666e-05,6076.041253972489
T130-75-224,33.0,19.8,11.1,81.0,25,5.062e-05,6076.041253972489
T130-75-225,33.0,19.8,11.1,81.0,26,5.476e-05,6076.041253972489
T130-75-226,33.0,19.8,11.1,81.0,27,5.905e-05,6076.041253972489
T130-75-227,33.0,19.8,11.1,81.0,28,6.350e-05,6076.041253972489
T130-75-228,33.0,19.8,11.1,81.0,29,6.812e-05,6076.041253972489
T130-75-229,33.0,19.8,11.1,81.0,30,7.290e-05,6076.041253972489
T130-75-230,33.0,19.8,11.1,81.0,31,7.784e-05,6076.041253972489
T130-75-231,33.0,19.8,11.1,81.0,32,8.294e-05,6076.041253972489
T130-75-232,33.0,19.8,11.1,81.0,33,8.821e-05,6076.041253972489
T130-75-233,33.0,19.8,11.1,81.0,34,9.364e-05,6076.041253972489
T130-75-234,33.0,19.8,11.1,81.0,35,9.922e-05,6076.041253972489
T130-75-235,33.0,19.8,11.1,81.0,36,1.050e-04,6076.041253972489
T130-75-236,33.0,19.8,11.1,81.0,37,1.109e-04,6076.041253972489
T130-75-237,33.0,19.8,11.1,81.0,38,1.170e-04,6076.041253972489
T130-75-238,33.0,19.8,11.1,81.0,39,1.232e-04,6076.041253972489
T130-75-239,33.0,19.8,11.1,81.0,40,1.296e-04,6076.041253972489
T130-75-240,33.0,19.8,11.1,81.0,41,1.362e-04,6076.041253972489
T130-75-241,33.0,19.8,11.1,81.0,42,1.429e-04,6076.041253972489
T130-75-242,33.0,19.8,11.1,81.0,43,1.498e-04,6076.041253972489
T130-75-243,33.0,19.8,11.1,81.0,44,1.568e-04,6076.041253972489
T130-75-244,33.0,19.8,11.1,81.0,45,1.640e-04,6076.041253972489
T130-75-245,33.0,19.8,11.1,81.0,46,1.714e-04,6076.041253972489
T130-75-246,33.0,19.8,11.1,81.0,47,1.789e-04,6076.041253972489
T130-75-247,33.0,19.8,11.1,81.0,48,1.866e-04,6076.041253972489
T130-75-248,33.0,19.8,11.1,81.0,49,1.945e-04,6076.041253972489
T130-75-249,33.0,19.8,11.1,81.0,50,2.025e-04,6076.041253972489
T130-75-250,33.0,19.8,11.1,81.0,51,2.107e-04,6076.041253972489
T130-75-251,33.0,19.8,11.1,81.0,52,2.190e-04,6076.041253972489
T130-75-252,33.0,19.8,11.1,81.0,53,2.275e-04,6076.041253972489
T130-75-253,33.0,19.8,11.1,81.0,54,2.362e-04,6076.041253972489
T130-75-254,33.0,19.8,11.1,81.0,55,2.450e-04,6076.041253972489
T130-75-255,33.0,19.8,11.1,81.0,56,2.540e-04,6076.041253972489
T130-75-256,33.0,19.8,11.1,81.0,57,2.632e-04,6076.041253972489
T130-75-257,33.0,19.8,11.1,81.0,58,2.725e-04,6076.041253972489
T130-75-258,33.0,19.8,11.1,81.0,59,2.820e-04,6076.041253972489
T130-75-259,33.0,19.8,11.1,81.0,60,2.916e-04,6076.041253972489
T130-75-260,33.0,19.8,11.1,81.0,61,3.014e-04,6076.041253972489
T130-75-261,33.0,19.8,11.1,81.0,62,3.114e-04,6076.041253972489
T130-75-262,33.0,19.8,11.1,81.0,63,3.215e-04,6076.041253972489
T130-75-263,33.0,19.8,11.1,81.0,64,3.318e-04,6076.041253972489
T130-75-264,33.0,19.8,11.1,81.0,65,3.422e-04,6076.041253972489
T130-75-265,33.0,19.8,11.1,81.0,66,3.528e-04,6076.041253972489
