Combination,Overall_Rank
"(4, 256)",14
"(4, 64)",22
"(3, 512)",26
"(2, 256)",33
"(2, 128)",37
"(3, 64)",41
"(3, 128)",41
"(5, 256)",45
"(3, 256)",45
"(4, 512)",51
"(2, 64)",54
"(7, 128)",66
"(4, 128)",69
"(6, 128)",81
"(5, 128)",85
"(6, 64)",88
"(1, 512)",89
"(2, 512)",90
"(4, 32)",96
"(8, 128)",99
"(5, 64)",113
"(1, 256)",114
"(8, 64)",120
"(7, 64)",123
"(6, 512)",127
"(6, 256)",130
"(1, 128)",136
"(5, 512)",140
"(7, 32)",149
"(6, 32)",151
"(5, 32)",152
"(8, 256)",165
"(2, 32)",165
"(3, 16)",172
"(1, 64)",175
"(8, 512)",177
"(7, 16)",185
"(1, 32)",186
"(8, 32)",187
"(7, 512)",195
"(3, 32)",195
"(6, 16)",197
"(4, 16)",198
"(2, 16)",200
"(5, 16)",204
"(7, 256)",205
"(8, 16)",212
"(1, 16)",235
