Combination,Overall_Rank
"(2, 256)",17
"(3, 256)",20
"(4, 512)",22
"(3, 512)",27
"(3, 128)",30
"(4, 128)",50
"(4, 256)",50
"(2, 128)",57
"(2, 512)",65
"(1, 512)",67
"(5, 512)",68
"(3, 64)",69
"(5, 128)",81
"(3, 32)",81
"(4, 64)",86
"(2, 64)",89
"(8, 64)",90
"(8, 128)",92
"(5, 64)",97
"(4, 32)",99
"(1, 256)",102
"(7, 512)",105
"(5, 32)",109
"(6, 256)",117
"(7, 128)",117
"(5, 256)",117
"(1, 128)",123
"(2, 32)",127
"(7, 64)",131
"(7, 256)",138
"(6, 128)",143
"(6, 32)",145
"(1, 64)",154
"(4, 16)",173
"(7, 32)",174
"(8, 32)",183
"(5, 16)",187
"(6, 16)",187
"(8, 512)",188
"(3, 16)",193
"(1, 32)",198
"(2, 16)",200
"(6, 512)",213
"(8, 16)",214
"(1, 16)",215
"(6, 64)",217
"(7, 16)",224
"(8, 256)",229
