No,L,C,fsw,delta_current,delta_voltage,Pl_s1,Pl_s2Pl_C,Pl_L_Cu
1,3e-05,3e-05,20000,4.590348642657058,22.680866894047572,2.5727074420928684,2.5727074420928684,1.5819122871435367,2.3244217067618997
2,3e-05,3e-05,26206,4.746566546672944,20.009130825707334,1.9318178452993444,1.9318178452993444,0.6649676690614736,1.2763373421467916
3,3e-05,3e-05,32413,3.7981828206761383,19.217844962841195,2.0024003319978503,2.0024003319978503,0.45224719202655883,0.9811660716612355
4,3e-05,3e-05,38620,3.1460010427693548,18.716112912556586,2.087098632911158,2.087098632911158,0.34331425147232164,0.8275669196184537
5,3e-05,3e-05,44827,2.675080610421595,18.592486414775887,2.1770360956323227,2.1770360956323227,0.2788791436423029,0.7395633291427699
6,3e-05,3e-05,51034,2.326596287367996,18.402385670596853,2.2635979459269753,2.2635979459269753,0.2357899338679409,0.6836920838190756
7,3e-05,3e-05,57241,2.061513030533894,18.37207531625657,2.3441648817323975,2.3441648817323975,0.2044041407632337,0.6448357475363216
8,3e-05,3e-05,63448,1.8643343297113968,18.345967891426042,2.4056570142253624,2.4056570142253624,0.17850596133706428,0.6105505510297725
9,3e-05,3e-05,69655,1.6891887755229522,18.25587713309948,2.486476684752996,2.486476684752996,0.16066357294129813,0.591937303597497
10,3e-05,3e-05,75862,1.535075851844397,18.183403706956756,2.5813509833200117,2.5813509833200117,0.14787368097405598,0.5839365806822681
11,3e-05,3e-05,82068,1.4130040790866378,18.2569809287844,2.6620103827349704,2.6620103827349704,0.13604327963625973,0.5741676219794374
12,3e-05,3e-05,88275,1.3117676791019248,18.205628950334297,2.7358538190818438,2.7358538190818438,0.12556553461403064,0.5645787899844371
13,3e-05,3e-05,94482,1.2331214917137292,18.22025733994653,2.7889667735784283,2.7889667735784283,0.11505630363047799,0.5497596016934082
14,3e-05,3e-05,100689,1.1567070195576505,18.164820791737316,2.8599333555717568,2.8599333555717568,0.10733832974113963,0.5429482889288428
15,3e-05,3e-05,106896,1.082318625301943,18.137261416734784,2.949633825244333,2.949633825244333,0.10186155833701784,0.5436297803080345
16,3e-05,3e-05,113103,1.0149083682104045,18.207342536445346,3.044212315914683,3.044212315914683,0.09732262614040108,0.5466325687467496
17,3e-05,3e-05,119310,0.9665806080623308,18.21292050336011,3.1012095777350295,3.1012095777350295,0.09112635075243851,0.5379411877342964
18,3e-05,3e-05,125517,0.9281441143892775,18.242745624282172,3.140393617452675,3.140393617452675,0.08469725540563289,0.5245215902034228
19,3e-05,3e-05,131724,0.8835246123839002,18.188500989439447,3.2141714483749757,3.2141714483749757,0.08066962711495865,0.5226306184023205
20,3e-05,3e-05,137931,0.8435813517164946,18.18976632716155,3.285627901322658,3.285627901322658,0.07692162506873021,0.5204146351133848
21,3e-05,3e-05,144137,0.8055410573314188,18.180236941553428,3.3636030996192376,3.3636030996192376,0.07379735815460946,0.5204425127893155
22,3e-05,3e-05,150344,0.774084888052273,18.180748219297804,3.4266610599227887,3.4266610599227887,0.07033737770287497,0.5163759666288656
23,3e-05,3e-05,156551,0.7456744443953955,18.225075551748336,3.486991198669033,3.486991198669033,0.06707595860250219,0.511874003755907
24,3e-05,3e-05,162758,0.7150189054210698,18.292240044840455,3.5688084099039035,3.5688084099039035,0.06485358437310818,0.5136050527865861
