No,L,C,fsw,average_current
1,3e-05,3e-05,20000,3.2556026550071735
2,3e-05,3e-05,26206,2.36093856325501
3,3e-05,3e-05,32413,2.366211346102824
4,3e-05,3e-05,38620,2.387292445667881
5,3e-05,3e-05,44827,2.4128715508238603
6,3e-05,3e-05,51034,2.4332818639290688
7,3e-05,3e-05,57241,2.4462432055285626
8,3e-05,3e-05,63448,2.4391282541447676
9,3e-05,3e-05,69655,2.4514615765292618
10,3e-05,3e-05,75862,2.4766164963498003
11,3e-05,3e-05,82068,2.4871841773656502
12,3e-05,3e-05,88275,2.490996804399179
13,3e-05,3e-05,94482,2.4762140458124167
14,3e-05,3e-05,100689,2.4776155521429404
15,3e-05,3e-05,106896,2.494795755745026
16,3e-05,3e-05,113103,2.5152112372919664
17,3e-05,3e-05,119310,2.5043548908764808
18,3e-05,3e-05,125517,2.47991195957668
19,3e-05,3e-05,131724,2.4832537867978615
20,3e-05,3e-05,137931,2.484698559229086
21,3e-05,3e-05,144137,2.4909191725134723
22,3e-05,3e-05,150344,2.486056349689757
23,3e-05,3e-05,156551,2.4794475666728566
24,3e-05,3e-05,162758,2.488077064851394
25,3e-05,3e-05,168965,2.4666710164450016
26,3e-05,3e-05,175172,2.462583440359175
27,3e-05,3e-05,181379,2.4578646450968527
28,3e-05,3e-05,187586,2.466386850910731
29,3e-05,3e-05,193793,2.4618419238348217
30,3e-05,3e-05,200000,2.4480963015005166
31,3e-05,3.6e-05,20000,2.3937568986289737
32,3e-05,3.6e-05,26206,2.3746395872224935
33,3e-05,3.6e-05,32413,2.3757778679146275
34,3e-05,3.6e-05,38620,2.3481663845254497
35,3e-05,3.6e-05,44827,2.405340298292884
36,3e-05,3.6e-05,51034,2.361118335118444
37,3e-05,3.6e-05,57241,2.3775258370415777
38,3e-05,3.6e-05,63448,2.402526428934356
39,3e-05,3.6e-05,69655,2.414322544424528
40,3e-05,3.6e-05,75862,2.447022273557654
41,3e-05,3.6e-05,82068,2.440932119631513
42,3e-05,3.6e-05,88275,2.4417735313836912
43,3e-05,3.6e-05,94482,2.458267111870644
44,3e-05,3.6e-05,100689,2.459297756398016
45,3e-05,3.6e-05,106896,2.4492362851007328
46,3e-05,3.6e-05,113103,2.4665044590823952
47,3e-05,3.6e-05,119310,2.4747446663918824
48,3e-05,3.6e-05,125517,2.4731136571741317
49,3e-05,3.6e-05,131724,2.4710595010536385
50,3e-05,3.6e-05,137931,2.464807447619778
51,3e-05,3.6e-05,144137,2.4559905620338123
52,3e-05,3.6e-05,150344,2.4693787590835976
53,3e-05,3.6e-05,156551,2.483892778109243
54,3e-05,3.6e-05,162758,2.475690667016771
55,3e-05,3.6e-05,168965,2.47006403724493
56,3e-05,3.6e-05,175172,2.4532059533546544
57,3e-05,3.6e-05,181379,2.4497314976463507
58,3e-05,3.6e-05,187586,2.445654508300339
59,3e-05,3.6e-05,193793,2.465113387755165
60,3e-05,3.6e-05,200000,2.4596117987258825
61,3e-05,4.2e-05,20000,2.3771833032758094
62,3e-05,4.2e-05,26206,2.878641242652039
63,3e-05,4.2e-05,32413,2.3846645790217704
64,3e-05,4.2e-05,38620,2.3781539701312524
65,3e-05,4.2e-05,44827,2.3525360675242863
66,3e-05,4.2e-05,51034,2.4048088014360096
67,3e-05,4.2e-05,57241,2.346236468220154
68,3e-05,4.2e-05,63448,2.3753940421576787
69,3e-05,4.2e-05,69655,2.387634549868196
70,3e-05,4.2e-05,75862,2.40487686828353
71,3e-05,4.2e-05,82068,2.4215437206735464
72,3e-05,4.2e-05,88275,2.41698522822774
73,3e-05,4.2e-05,94482,2.3976798881812074
74,3e-05,4.2e-05,100689,2.436854679811535
75,3e-05,4.2e-05,106896,2.443278196564196
76,3e-05,4.2e-05,113103,2.4484120988518554
77,3e-05,4.2e-05,119310,2.434730923793844
78,3e-05,4.2e-05,125517,2.449036887237174
79,3e-05,4.2e-05,131724,2.4560268417449507
80,3e-05,4.2e-05,137931,2.4768478839357386
81,3e-05,4.2e-05,144137,2.4579536095369092
82,3e-05,4.2e-05,150344,2.4514167717332764
83,3e-05,4.2e-05,156551,2.444211658040168
84,3e-05,4.2e-05,162758,2.4523822669742015
85,3e-05,4.2e-05,168965,2.4557655007896693
86,3e-05,4.2e-05,175172,2.4701017086565455
87,3e-05,4.2e-05,181379,2.4646658258541936
88,3e-05,4.2e-05,187586,2.4495099154262236
89,3e-05,4.2e-05,193793,2.44555224743416
90,3e-05,4.2e-05,200000,2.441379965829046
91,3e-05,4.8e-05,20000,3.1970215326623106
92,3e-05,4.8e-05,26206,3.209557686085973
93,3e-05,4.8e-05,32413,2.361930555031006
94,3e-05,4.8e-05,38620,2.711859409606789
95,3e-05,4.8e-05,44827,2.372970600024138
96,3e-05,4.8e-05,51034,2.3684916738961386
97,3e-05,4.8e-05,57241,2.3976616129055763
98,3e-05,4.8e-05,63448,2.3293720614819042
99,3e-05,4.8e-05,69655,2.372430198113382
100,3e-05,4.8e-05,75862,2.3835545987275273
101,3e-05,4.8e-05,82068,2.3864694067415955
102,3e-05,4.8e-05,88275,2.405249059961448
103,3e-05,4.8e-05,94482,2.4074080775863083
104,3e-05,4.8e-05,100689,2.4142298558526645
105,3e-05,4.8e-05,106896,2.418931379092682
